content,score,at,sentiment
"gak ada pesan tiba² ada driver yg antar krmh, di aplikasi malah ada pesanan dalam proses, bug aplikasi nyusahin driver sama pelanggan",1,2026-06-01 00:37:29,Negatif
mantapppppp,5,2026-06-01 00:32:26,Positif
sangat mempermudah bagi orang yang tidak memeliki kendaraan,5,2026-06-01 00:32:03,Positif
"driver pada ramah semua, dan kadang ada yg cuek, rapi okee👍",5,2026-06-01 00:18:41,Positif
semoga lebih bermanfaat bagi pengguna dan mitra2nya,5,2026-05-31 23:45:07,Positif
Alhamdulillah selama ini terbantu dengan gojek,5,2026-05-31 23:36:05,Positif
"Aplikasi jasa paling membantu untuk kehidupan sehari hari,bisa antar jemput, membeli makanan, antar barang dan masih banyak lagi",5,2026-05-31 23:15:12,Positif
"waktu tunggu pencarian driver gofood hampir 1 jam. tidak bisa dibatalin, padahal keterangan menyebut dapur akan mempersiapkan makanan jika driver sudah didapatkan. waktu penyiapan makanan telat 22menit, belum waktu pengantaran. kebayang berapa lama customer menunggu. Jauh lebih baik aplikasi Grab.",1,2026-05-31 23:14:40,Negatif
ok,5,2026-05-31 23:05:48,Positif
"tolong ya itu driver2nya yang suka nutupin 2 digit plat nomor suka melakukan hal tidak menyenangkan dijalan, dan percuma buat pengaduan via email klo gak bisa diaduin",1,2026-05-31 23:05:31,Negatif
Jangan Mau mesan go Food disini datangnya 2 jam,1,2026-05-31 23:02:32,Negatif
"khusus makanan, JAUH SAMA SPFOOD, INI LELET, SUSAH CARI DRIVER dan LEBIH PRO SI SPFOOD",1,2026-05-31 22:46:12,Negatif
kadang kadang gak dapet ocol,4,2026-05-31 22:41:13,Positif
Banyak biaya aneh yang menguntungkan pihak aplikator. Driver dan Resto Hanya sebagai Sapi Perah.,1,2026-05-31 22:34:04,Negatif
infonya nih buat gocar dan godrive puncak cisarua. kalau kaga pada niat kerja.mending kaga usah kerja...gua nunggu nunggu pada diam d tempat kendaraannya...pada nunyul kah,1,2026-05-31 22:27:06,Negatif
aplikasi gojek ribet harus daftar dulu ga kaya aplikasi yg lain otomatis langsung masuk,1,2026-05-31 22:22:06,Negatif
ok,5,2026-05-31 22:21:54,Positif
cepat dalam melayani dan aplikasi ini sangat berguna bagi saya,5,2026-05-31 22:16:36,Positif
Go foward,5,2026-05-31 22:06:13,Positif
Alhamdulillah saya puas dengan layanan gojek y🙏,5,2026-05-31 21:55:14,Positif
jelek,1,2026-05-31 21:45:51,Negatif
tiap tiap pesen makanan atau goride dapet nya driver yg jauh Mulu padahal banyak driver yg Deket tapi dapet yg jauh Mulu yg estimasi nya 10-15 menit,1,2026-05-31 21:31:09,Negatif
"Saya kecewa dengan penanganan customer service Gojek. Saat saya melaporkan transaksi yang tidak saya kenali, saya justru diarahkan untuk mengurusnya sendiri ke pihak lain tanpa bantuan yang berarti. Sebagai pengguna, saya berharap Gojek dapat memberikan dukungan yang lebih jelas dan membantu menyelesaikan masalah, terutama ketika menyangkut kehilangan saldo dan keamanan transaksi.",1,2026-05-31 21:12:10,Negatif
"memudahkan, terimakasih",5,2026-05-31 20:58:18,Positif
Alhamdulillah dengan aplikasi Gojek saya yang tidak diizinkan menggunakan kendaraan sangat terbantu dan Alhamdulillah setiap hari ketemu orang² baik pejuang² rupiah dan yang paling pentingnya bisa bersedekah secara tidak langsung. 2 Anakkupun happy sekolah bersama Gojek. Sedikit saran atributnya di gratisin aja supaya bapak ibu driver lebih keren kalau pakai atribut yang bersih.,5,2026-05-31 20:51:53,Positif
ok deh,4,2026-05-31 20:19:53,Positif
so far so good🤗👍🤘🏻,5,2026-05-31 20:19:05,Positif
sangat praktis dan cepat,5,2026-05-31 20:02:54,Positif
mantaffff,5,2026-05-31 19:51:14,Positif
"Banyak driver Gojek di area Yogyakarta tidak pasang plat nomer di motor nya, alasannya platnya copot lah..., jatoh lah...😩",1,2026-05-31 19:38:48,Negatif
ok,5,2026-05-31 19:18:34,Positif
sering ga dapet driver buat gofood,1,2026-05-31 19:14:32,Negatif
"Teruntuk Gojek, mohon dengan sangat di perhatikan, di area sekitar terpantau banyak driver nunggu orderan, tapi kenapa saya order membutuhkan waktu lama ? dan sekalinya dapat, posisinya jauh sangat dari titik penjemputan.",3,2026-05-31 19:11:25,Netral
"Coba di bantu untk Aplikasi, dengan nasabah gojek pinjam ingin Melakukan pelunasan kok tidak di respon... Dibantu untk katanya diskon pembayaran Katanya mau di bayarinn tapi mau di bayar ga ada bantuannya",1,2026-05-31 19:10:03,Negatif
"jujur baru sekarang kecewa sama driver gocar, 3 kali dpt driver tapi malah pada gk jalan gara2 jauh perjalanan, padahal aku gk pesen yg hemat, tolong dong buat driver2 klo misal gk mau y jangan di ambil bukan malah nawar harga yg ga masuk akal!!!",5,2026-05-31 19:06:54,Positif
membantu bagi para pengelana di kota2 orang makasih🙏,5,2026-05-31 19:05:51,Positif
bagus sih hanya di chatnya gak privasi soalnya ada aja yang chat sembarangan,5,2026-05-31 19:00:34,Positif
Terbaik,5,2026-05-31 18:58:26,Positif
Cepat dan responsif,5,2026-05-31 18:44:08,Positif
menurut saya pilihan anda untuk customer tidak bisa cancel adalah pilhan yang CERDAS..... sedangkan driver dan resto dapat mengcancel kapan saja semau mereka ditambah ini ada resto yang tutup tapi diaplikasi buka driver enggan/ tidak bisa cancel resto tidak bisa dikabari dan customer hanya bisa pasrah menunggu 30 menit bahkan lebih untuk bisa cancel dan pengembalian dana lagi dan lagi KECEWA,1,2026-05-31 18:39:41,Negatif
sangat membantu,5,2026-05-31 18:20:34,Positif
Good,4,2026-05-31 18:10:05,Positif
mantaap,5,2026-05-31 17:10:35,Positif
Tetap berkarya,5,2026-05-31 17:06:01,Positif
Pelayanan nya cepat..,5,2026-05-31 17:03:26,Positif
jangan karna ownernya masuk penjara jadi lemot dah apk nya,1,2026-05-31 16:31:10,Negatif
baik,5,2026-05-31 16:09:13,Positif
mantabs 👍🏻,5,2026-05-31 16:02:52,Positif
mantap,5,2026-05-31 15:59:37,Positif
